Crypto Currency Identifier,Dataset Name,table_name,column_name,data_type,description(given),description(generated)
Aptos (APT),crypto_aptos_mainnet_us,blocks,block_hash,STRING,The block's hash.,
Aptos (APT),crypto_aptos_mainnet_us,blocks,block_timestamp,TIMESTAMP,The timestamp of when the block was finalized.,
Aptos (APT),crypto_aptos_mainnet_us,blocks,block_unixtimestamp.seconds,INT64,The number of seconds since the unix epoch.,
Aptos (APT),crypto_aptos_mainnet_us,blocks,block_unixtimestamp.nanos,INT64,The number of nanoseconds that have elapsed since the beginning of the second specified in the seconds field.,
Aptos (APT),crypto_aptos_mainnet_us,blocks,block_height,INT64,The block height.,
Aptos (APT),crypto_aptos_mainnet_us,blocks,blockmetadata_tx_version,INT64,The transaction version belongs to the block metadata transaction.,
Aptos (APT),crypto_aptos_mainnet_us,blocks,round,INT64,The shared counter used to select leaders during an epoch of the consensus protocol.,
Aptos (APT),crypto_aptos_mainnet_us,blocks,previous_block_votes_bitvec,BYTES,The previous vote blocks.,
Aptos (APT),crypto_aptos_mainnet_us,blocks,proposer,STRING,"The address of the account that proposed the block.  Represented as a hex encoded 32 byte Aptos account address represented as a 64 character string, left-padded with zeros.",
Aptos (APT),crypto_aptos_mainnet_us,modules,block_height,INT64,The block height when the module was written/modified/deleted.,
Aptos (APT),crypto_aptos_mainnet_us,modules,block_timestamp,TIMESTAMP,The timestamp of when the block that contains the module was written/modified/deleted.,
Aptos (APT),crypto_aptos_mainnet_us,modules,block_unixtimestamp.seconds,INT64,The number of seconds since the unix epoch.,
Aptos (APT),crypto_aptos_mainnet_us,modules,block_unixtimestamp.nanos,INT64,The number of nanoseconds that have elapsed since the beginning of the second specified in the seconds field.,
Aptos (APT),crypto_aptos_mainnet_us,modules,tx_version,INT64,The transaction version when the written/modified/deleted.,
Aptos (APT),crypto_aptos_mainnet_us,modules,tx_hash,STRING,The hash of the transaction when the module was written/modified/deleted.,
Aptos (APT),crypto_aptos_mainnet_us,modules,change_index,INT64,The index of the change in the transaction where the module was written/modified/deleted.,
Aptos (APT),crypto_aptos_mainnet_us,modules,bytecode,BYTES,The bytecode associated with this module.,
Aptos (APT),crypto_aptos_mainnet_us,modules,address,STRING,"A hex encoded 32 byte Aptos account address represented as a 64 character string, left-padded with zeros.",
Aptos (APT),crypto_aptos_mainnet_us,modules,name,STRING,"The name of the module, may not be available if missing ABI info.",
Aptos (APT),crypto_aptos_mainnet_us,modules,friends.address,STRING,"A hex encoded 32 byte Aptos account address represented as a 64 character string, left-padded with zeros.",
Aptos (APT),crypto_aptos_mainnet_us,modules,friends.name,STRING,The name of the friend.,
Aptos (APT),crypto_aptos_mainnet_us,modules,exposed_functions.name,STRING,The name of the exposed function.,
Aptos (APT),crypto_aptos_mainnet_us,modules,exposed_functions.visibility,STRING,"Move function visibility.  Should be `private`, `public`, or `friend`.",
Aptos (APT),crypto_aptos_mainnet_us,modules,exposed_functions.is_entry,BOOL,Whether the function can be called as an entry function directly in a transaction.,
Aptos (APT),crypto_aptos_mainnet_us,modules,exposed_functions.generic_type_params.constraints,ARRAY<STRING>,The constraints associated with the parameter.,
Aptos (APT),crypto_aptos_mainnet_us,modules,exposed_functions.params,ARRAY<STRING>,Parameters associated with the move function.,
Aptos (APT),crypto_aptos_mainnet_us,modules,exposed_functions.return,ARRAY<STRING>,Return type of the function.,
